Subdomain,IP,Cloudflare
camping.honolulu.gov,206.195.187.61,false
data.honolulu.gov,35.170.133.124,false
emergencyservices.honolulu.gov,52.38.73.195,false
fire.honolulu.gov,52.36.204.215,false
iq.honolulu.gov,208.95.153.36,false
iqconnect.iq.honolulu.gov,208.95.153.12,false
lcistst.honolulu.gov,206.195.188.64,false
notice.realproperty.honolulu.gov,74.87.53.199,false
otatpay.honolulu.gov,20.85.78.45,false
realproperty.honolulu.gov,192.124.249.156,false
social.honolulu.gov,185.199.108.153,false
webmail.honolulu.gov,206.195.187.210,false
webmail2.honolulu.gov,206.195.187.204,false
www.honolulu.gov,206.195.188.229,false
